Id,Start,Name,Impact,Currency
1222c96f-04e8-4a04-bdb3-2ed10d0540a7,08/13/2026 19:00:00,Consumer Price Index (MoM),LOW,ARS
9d59c90e-02ee-4070-9f80-30695e296aae,08/20/2026 19:00:00,Trade Balance (MoM),LOW,ARS
838ecb39-b6e5-4646-9ef2-3bbb7196c6ad,09/03/2026 19:00:00,Tax Revenue (MoM),LOW,ARS
2c58e702-11fe-4482-bcf8-494d0c087b9d,09/08/2026 19:00:00,Industrial Output n.s.a (YoY),LOW,ARS
f2650762-99c3-4447-826b-cdd651bce9c6,09/10/2026 19:00:00,Consumer Price Index (MoM),LOW,ARS
84456b66-46c5-4227-bd34-7554a7282c77,09/17/2026 19:00:00,Gross Domestic Product (YoY)	,LOW,ARS
10d5823b-02a2-4c7b-821e-ec2d8e176b9e,09/17/2026 19:00:00,Unemployment Rate (QoQ)	,LOW,ARS
fa4b8a6a-bf40-4f99-bce2-027bcf4c3fb0,09/18/2026 19:00:00,Trade Balance (MoM),LOW,ARS
27651aa9-df96-42bf-9905-b85db0fb5761,10/05/2026 19:00:00,Tax Revenue (MoM),LOW,ARS
035ad292-a4de-47f2-8444-dcb7581f8c6e,10/07/2026 19:00:00,Industrial Output n.s.a (YoY),LOW,ARS
b97db9e6-0dce-4350-8f8a-495a59903754,10/13/2026 19:00:00,Consumer Price Index (MoM),LOW,ARS
1120961f-d064-43be-9d3e-1b926307ab75,10/19/2026 19:00:00,Trade Balance (MoM),LOW,ARS
a32cd5d0-0f84-442b-a920-de4b42b807b2,11/02/2026 19:00:00,Tax Revenue (MoM),LOW,ARS
c67f1907-1ccc-4bfc-8807-4aeac0db8680,11/09/2026 19:00:00,Industrial Output n.s.a (YoY),LOW,ARS
86133912-4dea-4669-b33e-9e77484ca685,11/12/2026 19:00:00,Consumer Price Index (MoM),LOW,ARS
b1837d9b-d03d-49b2-b136-3d63868dc3c1,11/19/2026 19:00:00,Trade Balance (MoM),LOW,ARS
3b53d0ae-77b9-4726-9145-cc765c491969,12/03/2026 19:00:00,Tax Revenue (MoM),LOW,ARS
95ad913b-ca78-4160-8e0b-e16aec4ff5a7,12/09/2026 19:00:00,Industrial Output n.s.a (YoY),LOW,ARS
656a7e5a-8812-4eb2-9a40-4f3374af02de,12/15/2026 19:00:00,Consumer Price Index (MoM),LOW,ARS
e513640c-8464-497f-b3ce-421cc9a72a6d,12/16/2026 19:00:00,Gross Domestic Product (YoY)	,LOW,ARS
37240dd7-d152-4ebb-9377-cf060115761e,12/18/2026 19:00:00,Trade Balance (MoM),LOW,ARS
60f1fc68-ebeb-4ac3-89ac-13f4bb7022d3,12/18/2026 19:00:00,Unemployment Rate (QoQ)	,LOW,ARS
29e93bd1-cf83-4c36-9720-7dc89aec8116,01/04/2027 19:00:00,Tax Revenue (MoM),LOW,ARS
80c68071-c782-4a78-bda8-e7e30e1afd2f,01/08/2027 19:00:00,Industrial Output n.s.a (YoY),LOW,ARS
a5192dd6-45a0-49e5-96b5-090b09fdd5d2,01/12/2027 19:00:00,Consumer Price Index (MoM),LOW,ARS
2ddcdce1-1419-4cc0-ae40-3bd4ab0ec8c4,01/20/2027 19:00:00,Trade Balance (MoM),LOW,ARS
